Name,Address,City,State,Zip,Category,Status,Notes
a16z Menlo Park Headquarters,2865 Sand Hill Road Suite 101,Menlo Park,CA,94025,a16z Company,Active,Current official HQ per a16z.com/offices
a16z The Quad Expansion,2400-2450 Sand Hill Road,Menlo Park,CA,94025,a16z Company,Active,2024 lease ~34000 sq ft
a16z San Francisco Office,180 Townsend Street,San Francisco,CA,94107,a16z Company,Active,Firm's SF outpost
Netscape Communications Original HQ,501 E Middlefield Road,Mountain View,CA,94043,a16z Company Origin,Verify tenant,Marc Andreessen co-founded here 1994
Loudcloud/Opsware HQ,599 N Mathilda Avenue,Sunnyvale,CA,94085,a16z Company Origin,Verify tenant,Founded 9/9/99 by Andreessen and Horowitz sold to HP 2007 for 1.65B
HP Garage,367 Addison Ave,Palo Alto,CA,94301,Historic Origin,Visitable - private museum,National Register + CA Historical Landmark 976
Shockley Semiconductor Site,391 San Antonio Rd,Mountain View,CA,94040,Historic Origin,Visitable - retail center,IEEE Milestone superplaque + sculptures
Fairchild Semiconductor Original Building,844 Charleston Rd,Palo Alto,CA,94303,Historic Origin,Standing,Planar process / integrated circuit
Apple Garage,2066 Crist Drive,Los Altos,CA,94024,Historic Origin,Private residence - view from street,Steve Jobs childhood home
Google Garage,232 Santa Margarita Ave,Menlo Park,CA,94025,Historic Origin,Private - viewable from street,Owned by Google as tribute
Emerson/Channing Plaque,Corner of Emerson St and Channing Ave,Palo Alto,CA,94301,Historic Origin,Plaque only,Triode vacuum tube development site
Xerox PARC,3333 Coyote Hill Rd,Palo Alto,CA,94304,Historic Origin,Exterior viewable only,Jobs saw GUI/mouse here Dec 1979
SRI International,333 Ravenswood Ave,Menlo Park,CA,94025,Historic Origin,Exterior viewable only,Site of Doug Engelbart's 1968 Mother of All Demos - mouse hypertext video conferencing
Varian Associates,611 Hansen Way,Palo Alto,CA,94304,Historic Origin,Verify address,Klystron tube inventors first tenant of Stanford Industrial Park
Silicon Graphics (SGI) Original Campus,2011 N Shoreline Blvd,Mountain View,CA,94043,Historic Origin,Verify current tenant,Jim Clark founded SGI 1981 - campus later became Googleplex
Computer History Museum,1401 N Shoreline Blvd,Mountain View,CA,94043,Historic Origin,Visitable museum,Holds Wagon Wheel artifacts
Intel Museum,2200 Mission College Blvd,Santa Clara,CA,95054,Historic Origin,Visitable museum,Inside Intel HQ
IBM Building 025 Memorial,Approx 37.2536 -121.8016 (Lowe's parking lot),San Jose,CA,,Historic Origin,Visitable marker,Memorial to 1950s IBM research campus
Center of Santa Clara Valley Plaque,Remote bike trail approx 37.2297 -121.7567,San Jose,CA,,Historic Origin,Visitable marker,Binary code plaque
Nikola Tesla Statue,Approx 37.4262 -122.1412,Palo Alto,CA,,Historic Origin,Visitable,Hidden time capsule opens 2043
Doc Herrold Radio Broadcast Site,Approx 37.3338 -121.8892,San Jose,CA,,Historic Origin,Plaque only,First radio broadcast 1909
YouTube Garage,765 Hobart St,Menlo Park,CA,94025,Historic Origin Tier3,Verify address,Chad Hurley's home garage
Nest Labs First Office,235 Alma St,Palo Alto,CA,94301,Historic Origin Tier3,Verify address,Rented via Craigslist
Cisco Original Site,199 Oak Grove Ave,Atherton,CA,94027,Historic Origin Tier3,Verify address,Bosack/Lerner 1984 founding house
Electronic Arts First Base,415 Camino Al Lago,San Mateo,CA,94402,Historic Origin Tier3,Verify address,Trip Hawkins house 1982
Cromemco Origin,1049 Evelyn St,Menlo Park,CA,94025,Historic Origin Tier3,Verify - weak sourcing,
IDEO David Kelley Design Origin,715 Emerson St,Palo Alto,CA,94301,Historic Origin Tier3,Verify - weak sourcing,
GoPro Origin Cottage,2132 Vallemar St,Moss Beach,CA,94038,Historic Origin Tier3,Verify - weak sourcing,Nick Woodman rented cottage
Zilog Federico Faggin Origin,178 Lowell Ave,Los Altos,CA,94022,Historic Origin Tier3,Verify - weak sourcing,
VM Labs Origin,24790 Summerhill Ave,Los Altos Hills,CA,94022,Historic Origin Tier3,Verify - weak sourcing,
Logitech Early US Base,1350 Bryant St,Palo Alto,CA,94301,Historic Origin Tier3,Verify - weak sourcing,
Dolby Labs Early Bay Area Lab,222 Waverley St,Palo Alto,CA,94301,Historic Origin Tier3,Verify - weak sourcing,
